unique_id,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,reconciled_median,bottomup_median,level,spend,roas_q0.05,roas_q0.1,roas_q0.25,roas_q0.5,roas_q0.75,roas_q0.9,roas_q0.95,roas_reconciled_median,horizon_days,max_abs_coherence_error
total/google/PERFORMANCE_MAX/google::22496284541,2866.3375753500786,3516.9077927067765,6553.565048797192,7032.48735786207,7426.979373986418,7657.825158820209,7820.494477159823,7032.48735786207,7032.487357862071,campaign,1566.4384960714285,1.829843675662179,2.2451617484676576,4.183735949565397,4.489475568622257,4.741315661363671,4.888685497723505,4.992532101817813,4.489475568622257,30,0.0
total/google/PERFORMANCE_MAX/google::22496284928,0.0,0.0,11775.816398545876,14222.276815587547,15273.936794944766,16253.259157957504,16535.086562572298,14222.276815587547,14222.276815587547,campaign,3221.3738925,0.0,0.0,3.655526117586761,4.414972396932825,4.741435581416219,5.045443248856746,5.132929959192031,4.414972396932825,30,0.0
total/google/PERFORMANCE_MAX/google::22635965025,0.0,262.207454849206,2999.7645168019244,3958.056683427511,4756.320160822818,5744.782350931065,6485.217042192204,3958.056683427511,3958.056683427509,campaign,388.6544785714285,0.0,0.6746544020616925,7.718332560654169,10.1839986457279,12.237914196449127,14.781207132996578,16.686330403369645,10.1839986457279,30,0.0
total/google/PERFORMANCE_MAX/google::22645714681,0.0,0.0,0.0,10712.246765006608,13808.859104052655,15345.15110296816,16093.182306112298,10712.246765006608,10712.246765006577,campaign,2377.5845753571425,0.0,0.0,0.0,4.505516596984776,5.807936023465493,6.454092637551339,6.768710763399406,4.505516596984776,30,0.0
total/google/PERFORMANCE_MAX/google::22739335904,0.0,169.90868830196632,1929.1887822100784,2490.490102446516,2926.51730312642,3346.81176217425,3719.3783621138864,2490.490102446516,2490.490102446518,campaign,257.66988428571426,0.0,0.6594045275138365,7.487055724645415,9.665429506247479,11.357622607853486,12.988757966232393,14.434664619128315,9.665429506247479,30,0.0
total/google/PERFORMANCE_MAX/google::23069675969,2176.9092900917485,2305.6136475807934,3296.792100437693,4475.724023280944,4802.0215088259465,6795.000056977986,7558.537968852418,4475.724023280944,4475.724023280943,campaign,1497.0417889285713,1.4541406300018895,1.5401130847729472,2.2022044573633432,2.989712148572824,3.2076736563664934,4.538951489016982,5.048982616752498,2.989712148572824,30,0.0
total/google/PERFORMANCE_MAX/google::23069675972,151.82026769372214,449.50366097806227,1202.8068784848879,3314.850403091576,9676.61998686093,12204.585046176975,13623.790141617483,3314.850403091576,3314.850403091578,campaign,1961.8751764285714,0.0773852839965579,0.22911939881738339,0.6130904213154359,1.6896336948031434,4.932332139742143,6.220877450722627,6.94426959742589,1.6896336948031434,30,0.0
total/google/PERFORMANCE_MAX/google::23121755418,0.0,0.0,0.0,5340.91787431807,8773.468549712765,10146.077057632774,10620.81125828925,5340.91787431807,5340.917874318078,campaign,1145.5944835714288,0.0,0.0,0.0,4.662136515940249,7.6584416872898915,8.856604324771224,9.27100419092323,4.662136515940249,30,0.0
total/google/PERFORMANCE_MAX/google::23205156959,0.0,0.0,2788.0439573194762,5174.985205798392,7390.52669405318,12214.519825842815,14431.489261882294,5174.985205798392,5174.985205798392,campaign,599.4137582142857,0.0,0.0,4.651284557807518,8.633410786591213,12.329591359514849,20.377443224244814,24.076006037757896,8.633410786591213,30,0.0
total/google/SEARCH/google::21567626631,14236.374264133243,15165.402959812443,19446.61281786596,21768.9292967049,23383.116787727377,25769.67902089954,33636.999899769566,21768.9292967049,21768.929296704908,campaign,3467.7113442857144,4.10540926008525,4.373317572929716,5.607909911507242,6.277607083005032,6.743097814718449,7.43132183229848,9.700057634612081,6.277607083005032,30,0.0
total/google/SEARCH/google::21577977814,9633.294123561587,12767.820549783726,14518.33467436278,15742.155507499616,17731.45332180972,19272.079999411442,29056.443986904254,15742.155507499616,15742.155507499636,campaign,3029.1505071428574,3.1801965933504777,4.214983877386316,4.7928733287197085,5.196887863570657,5.853605913604572,6.3622061544869135,9.59227477089303,5.196887863570657,30,0.0
